date,amount_mxn,weekday_written,notebook_date_text,raw_amount_text,source_page,recognition_confidence,review_status,notes
2023-06-21,1607.00,Mier,21 Mier,1607,5,high,verified,Leading mark overwritten.
2023-06-22,760.00,Jue,22 Jue,760,5,high,verified,
2023-06-23,576.00,Vier,23 Vier,576,5,high,verified,
2023-06-24,744.00,Sab,24 Sab,744,5,high,verified,
2023-06-26,330.00,Lun,26 Lun,330,5,high,verified,
2023-06-27,923.00,Mar,27 Mar,923,5,high,verified,
2023-06-28,878.00,Mie,28 Mie,878,5,high,verified,
2023-06-29,351.00,Ju,Ju,351,5,medium,verified,Date numeral omitted; inferred from sequence.
2023-06-30,474.00,Vi,Vi,474,5,medium,verified,Date numeral omitted; inferred from sequence.
2023-07-03,501.00,Lun,03 Lun,501,5,high,verified,
2023-07-04,70.00,Mar,04 Mar,70,5,high,verified,
2023-07-05,560.00,Mier,05 Mier,560,5,high,verified,
2023-07-06,540.00,Jue,06 Jue,540,5,high,verified,
2023-07-07,533.00,Vier,07 Vier,533,5,high,verified,
2023-07-08,,Saba,06 Saba,[blank],5,high,missing_amount,Adjudicated sequence maps literal 06 Saba to July 8; missing_amount takes precedence for blank value.
2023-07-10,,Lun,08 Lun,[blank],5,high,missing_amount,Shifted source sequence normalized to July 10.
2023-07-11,273.00,Mar,09 Mar,273,5,high,adjudicated,Shifted source sequence normalized to July 11.
2023-07-12,317.00,Mier,10 Mier,317,5,high,adjudicated,Shifted source sequence normalized to July 12.
2023-07-13,473.00,Jue,11 Jue,473,5,high,adjudicated,Shifted source sequence normalized to July 13.
2023-07-14,535.00,Vier,12 Vier,535,5,high,adjudicated,Shifted source sequence normalized to July 14.
2023-07-15,,Sab,13 Sab,[blank],5,high,missing_amount,Shifted source sequence normalized to July 15; missing_amount takes precedence.
2023-07-17,695.00,Lun,17 Lun,695,5,high,verified,
2023-07-18,319.00,Mar,18 Mar,319,5,high,verified,
2023-07-19,523.00,Mie,19 Mie,523,5,high,verified,
2023-07-20,358.00,Jue,20 Jue,358,5,high,verified,
2023-07-21,332.00,Vier,21 Vier,332,5,high,verified,
2023-07-24,504.00,Lun,24 Lun,504,5,high,verified,
2023-07-25,366.00,Mar,25 Mar,366,5,high,verified,
2023-07-26,1340.00,Mier,26 Mier,1340,5,high,verified,
2023-07-27,452.00,Jue,27 Jue,452,5,high,verified,
2023-07-28,442.00,Vie,28 Vie,442,5,high,verified,
2023-07-31,173.00,Lun,31 Lun,173,5,high,verified,
2023-08-01,367.00,Mar,01 Mar,367,6,high,verified,
2023-08-02,610.00,Mie,02 Mie,610,6,high,adjudicated,Amount adjudicated as 610.
2023-08-03,720.00,Jue,03 Jue,720,6,high,verified,
2023-08-04,109.00,Vier,04 Vier,109,6,medium,verified,Final mark after 109 appears decorative/cents notation.
2023-08-07,480.00,Lun,07 Lun,480,6,high,verified,
2023-08-08,1112.00,Mar,08 Mar,1112,6,high,verified,
2023-08-09,427.00,Mie,09 Mie,427,6,high,verified,
2023-08-10,410.00,Jue,10 Jue,410,6,high,verified,
2023-08-11,437.00,Vier,11 Vier,437,6,high,verified,
2023-08-12,,,12-,[blank],6,high,missing_amount,No weekday or amount.
2023-08-14,1794.00,,14,1794,6,medium,verified,Weekday omitted.
2023-08-15,,,15-,[blank],6,high,missing_amount,No weekday or amount.
2023-08-16,530.00,M,16 M,530,6,high,verified,
2023-08-17,78.00,J,17 J,78,6,low,adjudicated,Low-confidence source row adjudicated to amount 78.
2023-08-18,404.00,V,18 V,404,6,high,verified,
2023-08-19,,S,19 S,[blank],6,high,missing_amount,
2023-08-21,2800.00,L,21-L,2800,6,high,verified,
2023-08-22,1207.00,M,22-M,1207,6,high,verified,
2023-08-23,880.00,M,23 M,880,6,high,verified,
2023-08-24,1077.00,J,24 J,1077,6,high,verified,
2023-08-25,1490.00,V,25 V,1490,6,high,adjudicated,Amount adjudicated as 1490.
2023-08-26,1988.00,S,26 S,1988,6,high,verified,
2023-08-28,457.00,L,28 L,457,6,high,verified,
2023-08-29,2350.00,M,29 M,2350,6,high,verified,
2023-08-30,1952.00,M,30 M,1952,6,high,verified,
2023-08-31,1430.00,J,31 J,1430,6,high,verified,
2023-09-01,1044.00,Viernes,01 Viernes,$1044,6,high,adjudicated,Amount adjudicated as 1044.
2023-09-02,1442.00,Sabado,02 Sabado,$1442,6,high,adjudicated,Amount adjudicated as 1442.
2023-09-04,3890.00,Lune,04 Lune,$3890,6,high,verified,
2023-09-05,1414.00,Mart,05 Mart,$1414,6,high,verified,
2023-09-06,961.00,Miere,06 Miere,$961,6,high,verified,
2023-09-07,1234.00,Jueve,07 Jueve,$1234,6,high,verified,
2023-09-08,891.00,Vier,Vier,891,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-09,769.00,Sab,Sab,769,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-11,1370.00,Lun,Lun,1370,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-12,1161.00,Mar,Mar,1161,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-13,1424.00,Mier,Mier,1424,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-14,1230.00,Juev,Juev,1230,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-16,627.00,,16 Sept,627,6,medium,verified,Weekday omitted.
2023-09-17,878.00,Lun,17 Lun,$878,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-18,910.00,Mar,18 Mar,$910,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-19,1260.00,Mie,19 Mie,$1260,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-20,1140.00,Jue,20 Jue,1140,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-21,457.00,Vie,21 Vie,457,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-23,367.00,Sab,23 Sab,367,6,high,adjudicated,Date and amount adjudicated as literal 23 Sab - 367.
2023-09-24,1120.00,Lun,24 Lun,1120,6,high,verified,Weekday conflicts with calendar; preserved literally.
2023-09-25,881.00,Mar,Mar,881,6,medium,verified,Date numeral omitted; inferred from sequence.
2023-09-26,950.00,Mier,Mier,[2/9]50,6,medium,adjudicated,Most-likely value set to 950 after visual review and prior agent evidence; leading digit remains visually ambiguous.
2023-10-02,1140.00,Lun,02 Lun,1140,7,high,verified,
2023-10-03,1410.00,Mar,03 Mar,1410,7,high,verified,
2023-10-04,920.00,Mie,04 Mie,920,7,high,adjudicated,Amount adjudicated as 920.
2023-10-05,910.00,Jue,05 Jue,910,7,high,verified,
2023-10-06,1050.00,Vier,06 Vier,1050,7,high,verified,
2023-10-07,786.00,Sab,07 Sab,786,7,high,verified,
2023-10-09,1100.00,Lun,09 Lun,"1,100",7,high,verified,
2023-10-10,810.00,Mar,10 Mar,810,7,high,verified,
2023-10-11,938.00,Mier,11 Mier,938,7,high,verified,
2023-10-12,1170.00,Jue,12 Jue,1170,7,high,adjudicated,Amount adjudicated as 1170.
2023-10-13,494.00,Vier,13 Vier,494,7,high,verified,
2023-10-14,350.00,Sab,14 Sab,350,7,high,verified,
2023-10-16,1578.00,Lun,16 Lun,1578,7,medium,verified,Last digit overwritten.
2023-10-17,1427.00,Mar,17 Mar,1427,7,high,verified,
2023-10-18,1137.00,Mier,18 Mier,1137,7,high,verified,
2023-10-19,422.00,Jue,19 Jue,422,7,high,verified,
2023-10-20,484.00,Vier,20 Vier,484,7,high,verified,
2023-10-21,641.00,Sab,21 Sab,641,7,high,verified,
2023-10-23,890.00,Lun,23 Lun,890,7,high,verified,
2023-10-24,1163.00,Mar,24 Mar,1163,7,high,verified,
2023-10-25,1110.00,Mie,25 Mie,1110,7,high,verified,
2023-10-26,1280.00,Jue,26 Jue,1280,7,high,verified,
2023-10-27,590.00,Vier,27 Vier,590,7,high,verified,
2023-10-28,998.00,Sab,28 Sab,998,7,high,verified,
2023-10-30,1936.00,,30,"1,936",7,high,verified,Weekday omitted.
2023-10-31,1290.00,,31,"1,290",7,high,verified,Weekday omitted.
2023-11-01,736.00,Mie,01 Mie,736,7,high,verified,
2023-11-02,,Jue,02 Jue,[blank],7,high,missing_amount,
2023-11-03,593.00,Vie,03 Vie,593,7,high,verified,
2023-11-04,463.00,Sab,04 Sab,463,7,high,verified,
2023-11-06,1160.00,Lun,06 Lun,1160,7,high,verified,
2023-11-07,1150.00,Mar,07 Mar,1150,7,high,verified,
2023-11-08,1040.00,Mier,08 Mier,1040,7,high,verified,
2023-11-09,770.00,Juev,09 Juev,770,7,high,verified,
2023-11-10,382.00,Vier,10 Vier,382,7,high,verified,
2023-11-11,459.00,Sab,11 Sab,459,7,high,verified,
2023-11-13,1190.00,Lun,13 Lun,1190,7,high,verified,
2023-11-14,863.00,Mar,14 Mar,863,7,high,verified,
2023-11-15,587.00,Mier,15 Mier,587,7,high,verified,
2023-11-16,376.00,Jue,16 Jue,376,7,high,verified,
2023-11-17,457.00,Vie,17 Vie,457,7,high,verified,
2023-11-18,,Sa,18 Sa,[blank],7,high,missing_amount,
2023-11-19,700.00,Lun,19 Lun,700,7,high,verified,Weekday conflicts with calendar; preserved literally.
2023-11-20,1138.00,Mar,20 Mar,1138,7,high,verified,Weekday conflicts with calendar; preserved literally.
2023-11-21,880.00,Mier,21 Mier,880,7,high,verified,Weekday conflicts with calendar; preserved literally.
2023-11-23,475.00,Jue,23 Jue,475,7,high,verified,
2023-11-24,404.00,Vie,24 Vie,404,7,high,verified,
2023-11-25,781.00,Sab,25 Sab,781,7,high,verified,
2023-11-27,1014.00,Lun,27 Lun,1014,7,high,verified,
2023-11-28,1320.00,Mar,28 Mar,1320,7,high,verified,
2023-11-29,670.00,Mier,29 Mier,670,7,high,verified,
2023-11-30,1950.00,,30,1950,7,high,verified,Weekday omitted.
2023-12-01,720.00,Vier,01 Vier,720,8,high,verified,
2023-12-02,683.00,Sab,02 Sab,683,8,high,verified,
2023-12-04,1536.00,Lun,04 Lun,1536,8,high,verified,
2023-12-05,1427.00,Mar,05 Mar,1427,8,high,verified,
2023-12-06,829.00,Mier,06 Mier,829,8,high,verified,
2023-12-07,,Jue,07 Jue,[blank],8,high,missing_amount,
2023-12-08,751.00,Vier,08 Vier,751,8,high,verified,
2023-12-09,822.00,Sab,09 Sab,822,8,high,verified,
2023-12-11,923.00,Lun,11 Lun,923,8,high,verified,
2023-12-12,1895.00,Mar,12 Mar,1895,8,high,verified,
2023-12-13,840.00,Mier,13 Mier,840,8,high,verified,
2023-12-14,941.00,Jue,14 Jue,941,8,high,verified,
2023-12-15,653.00,Vier,Vier,653,8,medium,verified,Date numeral omitted; inferred from sequence.
2023-12-16,280.00,Sab,16 Sab,280,8,medium,verified,Date overwritten.
2023-12-18,830.00,Lun,18 Lun,830,8,high,verified,
2023-12-19,545.00,Mar,19 Mar,545,8,high,verified,
2023-12-20,727.00,Mie,20 Mie,727,8,high,verified,
2023-12-21,675.00,Jue,20/21 Jue,675,8,low,adjudicated,Overwritten date normalized to December 21 by sequence.
2023-12-27,373.00,Mie,27 Mie,373,8,high,verified,
2023-12-28,320.00,,28,320,8,high,verified,Weekday omitted.
2023-12-29,175.00,,29,175,8,high,verified,Weekday omitted.
2023-12-30,107.00,,30,107,8,high,verified,Weekday omitted.
2024-01-02,571.00,Mar,02 Mar,571,9,high,verified,
2024-01-03,602.00,Mier,03 Mier,602,9,high,verified,
2024-01-04,342.00,Jue,04 Jue,342,9,high,verified,
2024-01-05,481.00,Vier,05 Vier,481,9,high,verified,
2024-01-06,210.00,Sab,06 Sab,210,9,high,verified,
2024-01-08,1309.00,Lun,08 Lun,[1087/1309],9,medium,adjudicated,Overwritten amount adjudicated to 1309 because it exactly reconciles the clear 8367 section total; direct glyph can resemble 1087.
2024-01-09,898.00,Mart,09 Mart,898,9,high,verified,
2024-01-10,1245.00,Mier,10 Mier,1245,9,high,verified,
2024-01-11,757.00,Juev,11 Juev,757,9,high,verified,
2024-01-12,483.00,V.,12 V.,483,9,high,verified,
2024-01-13,234.00,Sab,13 Sab,234,9,high,verified,
2024-01-15,1235.00,Lun,15 Lun,1235,9,high,verified,
2024-01-16,841.00,Mar,16 Mar,841,9,high,verified,
2024-01-17,800.00,Mier,17 Mier,800,9,high,verified,
2024-01-18,1361.00,Jue,18 Jue,1361,9,high,verified,
2024-01-19,522.00,Vier,19 Vier,522,9,high,verified,
2024-01-20,653.00,Sab,20 Sab,653 +718 +130,9,high,verified,Daily base amount retained. Attached +130 reconciles the written 13216 total; +718 remains an unclassified side annotation.
2024-01-22,1357.00,Lun,22 Lun,1357,9,high,verified,
2024-01-23,951.00,Mar,23 Mar,951,9,high,verified,
2024-01-24,1070.00,Mier,24 Mier,1070,9,high,verified,
2024-01-25,789.00,,25,789,9,high,verified,
2024-01-26,926.00,Vier,26 Vier,926,9,medium,verified,Leading digit is overwritten but reads most likely as 9.
2024-01-29,1537.00,Lun,29 Lun,1537,9,high,verified,
2024-01-30,973.00,Mar,30 Mar,973,9,high,verified,
2024-01-31,1306.00,,31,1306,9,high,verified,
2024-02-01,1549.00,Jue,01 Jue,1549,9,high,verified,
2024-02-02,648.00,Vier,02 Vier,648,9,high,verified,
2024-02-03,320.00,Sab,03 Sab,320,9,high,verified,
2024-02-05,1282.00,Lun,05 Lun,1282,9,high,verified,
2024-02-06,,Mar,Mar,[blank],9,high,missing_amount,Date numeral omitted; inferred from weekday sequence. No amount is written.
2024-02-07,1282.00,Mier,07 Mier,1282,9,high,verified,
2024-02-08,1438.00,Jue,08 Jue,1438,9,high,verified,
2024-02-09,780.00,Vier,09 Vier,780,9,high,verified,
2024-02-10,866.00,Sab,10 Sab,866,9,high,verified,
2024-02-12,1233.00,Lun,12 Lun,1233,9,high,verified,
2024-02-13,1529.00,Mar,13 Mar,1529,9,high,verified,
2024-02-14,1286.00,Mier,14 Mier,1286,9,high,verified,
2024-02-15,1065.00,Jue,15 Jue,1065,9,high,verified,
2024-02-16,592.00,Vier,[16] Vier,592,9,high,verified,
2024-02-17,300.00,Sab,[17] Sab,300,9,high,verified,
2024-02-19,1215.00,Lun,[19] Lun,1215,9,high,verified,
2024-02-20,1308.00,Mar,[20] Mar,1308,9,high,verified,
2024-02-21,1699.00,Mier,[21] Mier,1699 -852 BBVA; 100 Paco,9,medium,verified,Side payment/allocation notes are not subtracted from the daily sales amount.
2024-02-22,517.00,Jue,22 Jue,517,9,high,verified,
2024-02-23,400.00,Vie,23 Vie,400,9,high,verified,
2024-02-24,463.00,Sab,24 Sab,463,9,high,verified,
2024-02-26,788.00,Lun,26 Lun,788,9,high,verified,
2024-02-27,1130.00,Mar,27 Mar,1130,9,high,verified,
2024-02-28,636.00,Mier,28 Mier,636,9,high,verified,
2024-02-29,1059.00,Jue,29 Jue,1059,9,high,verified,
2024-03-01,751.00,Viernes,01 Viernes,751,10,high,verified,
2024-03-02,634.00,Saba,02 Saba,634,10,high,verified,
2024-03-04,1129.00,Lun,04 Lun,1129,10,high,verified,
2024-03-05,930.00,Mar,05 Mar,930,10,high,verified,
2024-03-06,1175.00,Mier,06 Mier,1175 +260 +60,10,high,verified,Daily base amount retained; attached additions are preserved separately because written section totals do not reconcile them consistently.
2024-03-07,560.00,Juev,07 Juev,560,10,medium,verified,First digit is overwritten.
2024-03-08,761.00,Vie,08 Vie,761,10,high,verified,
2024-03-09,467.00,Sab,09 Sab,467,10,medium,verified,First digit is overwritten.
2024-03-11,1570.00,Lun,11 Lun,1570,10,high,verified,
2024-03-12,820.00,Mar,12 Mar,820,10,high,verified,
2024-03-13,1194.00,Mier,13 Mier,1194,10,high,verified,
2024-03-14,430.00,Jue,14 Jue,430,10,high,adjudicated,Focused visual adjudication selected 430; the middle digit matches the writer's nearby 3 rather than 5.
2024-03-18,918.00,Lunes,18 Lunes,918,10,high,verified,
2024-03-19,415.00,Mart,19 Mart,415,10,high,verified,
2024-03-20,1372.00,Mier,20 Mier,1372,10,high,verified,
2024-03-21,930.00,Juev,21 Juev,930,10,high,verified,
2024-03-22,441.00,Vier,22 Vier,441,10,high,verified,
2024-03-23,287.00,Sab,23 Sab,287,10,high,verified,
2024-03-25,340.00,Lun,25 Lun,340,10,high,verified,
2024-03-26,527.00,Mar,26 Mar,527,10,high,verified,
2024-03-27,447.00,Mie,27 Mie,447,10,high,verified,
2024-03-28,,,28,[blank],10,high,missing_amount,"Date numeral only; 6149 is a corrected section total, not a daily amount."
2024-03-29,,,29,[blank],10,high,missing_amount,"Date numeral only; 6149 is a corrected section total, not a daily amount."
2024-03-30,,,30,[blank],10,high,missing_amount,"Date numeral only; 6149 is a corrected section total, not a daily amount."
2024-04-01,606.00,Lun,01 Lun,606,10,high,verified,
2024-04-02,272.00,Mart,02 Mart,272,10,high,verified,
